@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R1-3,5-12-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R5'

@attribute num_fantasmas_vivos numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
4,0,2,2,-1,False,False,False,False,4,5,2,3,East,North
4,0,1,1,-1,False,False,False,False,3,6,2,3,North,North
3,6,6,12,-1,False,False,False,False,2,7,2,3,North,North
3,5,6,11,-1,False,False,True,False,2,4,1,4,North,East
3,5,5,10,-1,False,False,True,False,3,3,1,4,East,South
3,5,4,9,-1,False,False,True,False,4,2,1,4,South,South
3,5,3,8,-1,False,True,False,False,5,1,6,6,South,South
3,4,3,7,-1,True,True,False,False,1,1,5,7,South,East
3,3,3,6,-1,False,False,False,False,11,4,4,8,East,East
3,2,3,5,-1,False,False,False,False,11,4,3,9,East,East
3,1,3,4,-1,False,False,False,False,11,4,2,10,East,East
3,0,3,3,-1,False,False,True,False,7,4,1,11,East,East
3,0,2,2,-1,False,False,True,False,8,3,1,4,East,South
3,0,1,1,-1,False,False,True,False,9,2,1,4,South,South
2,6,3,9,-1,False,True,True,False,10,1,1,11,South,South
2,6,2,8,-1,False,False,True,False,9,2,1,4,South,North
2,6,1,7,-1,False,False,True,False,8,3,1,4,North,North
2,6,0,6,-1,False,False,True,False,7,4,1,11,North,North
2,6,1,7,-1,False,False,True,False,6,5,1,4,North,North
2,6,2,8,-1,False,False,True,False,5,6,1,4,North,North
2,6,3,9,-1,False,False,True,False,4,7,1,4,North,North
2,6,4,10,-1,False,False,True,False,3,8,1,4,North,North
2,6,5,11,-1,False,False,True,False,2,9,1,4,North,North
2,6,6,12,-1,True,False,False,False,1,10,10,11,North,North
2,5,6,11,-1,True,True,False,False,1,1,9,12,North,East
2,4,6,10,-1,True,False,False,False,1,10,8,13,East,East
2,3,6,9,-1,False,False,False,False,7,10,7,14,East,East
2,3,5,8,-1,False,False,False,False,8,9,7,2,East,South
2,3,4,7,-1,False,False,False,False,9,8,12,2,South,South
2,3,3,6,-1,False,False,True,False,10,7,1,2,South,South
2,3,2,5,-1,False,False,False,False,11,6,12,2,South,South
2,3,1,4,-1,False,False,True,False,12,5,1,2,South,South
2,3,0,3,-1,False,False,False,False,13,4,12,2,South,South
2,2,0,2,-1,True,True,False,False,1,1,11,3,South,East
2,1,0,1,-1,True,True,False,False,1,1,10,4,East,East
1,8,7,15,-1,True,False,False,False,1,4,9,5,East,East
1,9,7,16,-1,True,True,False,False,1,1,10,4,East,West
1,10,7,17,-1,True,True,False,False,1,1,11,3,West,West
1,11,7,18,-1,False,False,False,False,13,4,12,2,West,West
1,11,6,17,-1,False,False,True,False,12,5,1,2,West,North
1,11,5,16,-1,False,False,False,False,11,6,12,2,North,North
1,11,4,15,-1,False,False,True,False,10,7,1,2,North,North
1,11,3,14,-1,False,False,False,False,9,8,12,2,North,North
1,10,3,13,-1,False,True,False,False,3,1,11,3,North,East
1,9,3,12,-1,False,True,False,False,3,1,10,4,East,East
1,8,3,11,-1,False,True,False,False,9,1,9,5,East,East
1,7,3,10,-1,False,True,False,False,5,1,8,6,East,East
1,6,3,9,-1,False,True,False,False,5,1,7,7,East,East
1,5,3,8,-1,False,True,False,False,9,1,6,8,East,East
1,5,2,7,-1,False,False,True,False,8,2,1,8,East,North
1,5,1,6,-1,False,False,True,False,7,3,1,20,North,North
1,5,0,5,-1,False,False,True,False,6,4,1,4,North,North
1,5,1,6,-1,False,False,True,False,5,5,1,9,North,North
1,5,2,7,-1,False,False,False,True,4,6,6,1,North,North
1,4,2,6,-1,False,True,False,False,4,1,5,2,North,East
1,3,2,5,-1,False,False,False,False,2,3,4,3,East,East
1,2,2,4,-1,False,False,False,False,2,3,3,4,East,East
1,1,2,3,-1,False,False,False,False,2,2,2,5,East,East
1,0,2,2,-1,False,False,True,False,4,3,1,6,East,East
4,0,6,6,1,True,True,False,False,1,1,6,3,Stop,West
4,1,6,7,1,True,True,False,False,1,1,7,2,West,West
4,2,6,8,1,False,True,False,True,11,1,8,1,West,West
4,2,5,7,1,False,False,True,True,10,2,1,1,West,North
4,2,4,6,1,False,False,False,False,9,3,8,4,North,North
4,2,3,5,1,False,False,True,False,8,4,1,4,North,North
4,2,2,4,1,False,False,True,False,7,5,1,4,North,North
4,2,1,3,1,False,False,True,False,6,6,1,4,North,North
4,2,0,2,1,False,False,False,False,5,7,6,6,North,North
4,1,0,1,2,True,True,False,False,1,1,5,7,North,East
3,1,0,1,3,True,True,False,False,1,1,4,8,East,East
2,1,0,1,2,False,True,False,False,5,1,3,9,East,East
4,1,13,14,1,True,False,False,True,1,11,2,1,Stop,West
4,1,12,13,1,False,False,False,False,2,10,3,4,West,South
4,0,12,12,1,True,True,False,False,1,1,4,3,South,West
4,1,12,13,1,False,False,False,False,2,14,5,2,West,West
4,1,11,12,1,False,False,True,False,3,13,1,5,West,South
4,1,10,11,1,False,False,True,False,4,12,1,2,South,South
4,1,9,10,1,False,False,False,False,5,11,5,6,South,South
4,1,8,9,1,False,False,True,False,6,10,1,2,South,South
4,1,7,8,1,False,False,False,False,7,9,12,6,South,South
4,1,6,7,1,False,False,True,False,8,8,1,2,South,South
4,1,5,6,1,False,False,False,False,9,7,3,17,South,South
4,1,4,5,1,False,False,True,False,10,6,1,2,South,South
4,1,3,4,1,False,False,False,False,11,5,12,9,South,South
4,1,2,3,1,False,False,False,False,12,4,2,14,South,South
4,1,1,2,1,False,False,True,False,13,3,1,2,South,South
4,1,0,1,1,False,False,False,False,14,2,2,17,South,South
3,10,2,12,1,True,False,True,False,1,2,1,18,South,East
3,10,3,13,1,False,True,False,False,2,1,11,18,East,South
3,9,3,12,1,True,True,False,False,1,1,10,19,South,East
3,8,3,11,1,False,True,False,False,6,1,9,20,East,East
3,7,3,10,1,False,True,False,False,2,1,8,21,East,East
3,6,3,9,1,False,True,False,False,10,1,7,22,East,East
3,5,3,8,1,False,True,False,False,15,1,6,23,East,East
3,4,3,7,1,False,True,False,False,2,1,5,24,East,East
3,3,3,6,1,False,True,False,False,12,1,4,25,East,East
3,2,3,5,1,False,True,False,False,13,1,3,26,East,East
3,1,3,4,1,False,True,False,False,2,1,2,27,East,East
3,0,3,3,1,False,True,True,False,13,1,1,28,East,East
3,0,2,2,1,False,False,True,False,12,2,1,9,East,North
3,0,1,1,2,False,False,True,True,11,3,1,1,North,North
2,26,0,26,1,False,False,True,False,10,4,1,9,North,North
2,25,0,25,1,False,True,False,False,2,1,2,8,North,West
2,24,0,24,1,False,False,False,False,10,4,3,7,West,West
2,23,0,23,1,False,False,False,False,9,4,4,6,West,West
2,22,0,22,1,False,True,False,False,2,1,5,5,West,West
2,21,0,21,1,False,False,False,False,12,4,6,4,West,West
